State (name),Area in km^2,Population,Population (male),Population (female),Population density
Baden-Wuerttemberg,35741.54006,10744921,5285946,5458975,300.6283569
Bayern,68025.40998,12510331,6136004,6374327,183.9067383
Berlin,891.539978,3442675,1686256,1756419,3861.492676
Brandenburg,29481.96006,2511525,1244101,1267424,85.1885376
Bremen,404.280014,661716,322227,339489,1636.776489
Hamburg,755.1599731,1774224,866623,907601,2349.467773
Hessen,20787.72001,6061951,2970776,3091175,291.6121216
Mecklenburg-Vorpommern,23189.02001,1651216,818119,833097,71.20680237
Niedersachsen,46510.33995,7928815,3894627,4034188,170.4742432
Nordrhein-Westfalen,34087.97004,17872763,8719694,9153069,524.3129272
Rheinland-Pfalz,19847.26002,4012675,1970665,2042010,202.1777802
Saarland,2568.659993,1022585,497605,524980,398.1005554
Sachsen,18419.64,4168732,2039451,2129281,226.3199463
Sachsen-Anhalt,20448.79003,2356219,1153749,1202470,115.2253494
Schleswig-Holstein,15699.68997,2832027,1387049,1444978,180.3874512
Thueringen,16172.48999,2249882,1110714,1139168,139.1178436
